1.61812, 0, 1.82853, -0.0048449, 0.284623, 0.00866401
1.61812, 1, 1.82565, -0.0400685, 0.276968, 0.00848903
1.61812, 2, 1.83492, 0.0426644, 0.207132, 0.00854844
1.61812, 3, 1.81501, 0.0303076, 0.221307, 0.0112522
1.61812, 4, 1.81427, -0.0291668, 0.296844, 0.00887362
1.61812, 5, 1.81293, -0.0099055, 0.21273, 0.00735082
1.61812, 6, 1.81959, 0.00840896, 0.277134, 0.0052252
1.61812, 7, 1.85053, -0.0175913, 0.288897, 0.0108577
1.61812, 8, 1.84937, -0.0387877, 0.289436, 0.00874757
1.61812, 9, 1.83377, -0.0267838, 0.243907, 0.00575349
1.61812, 10, 1.85108, 0.000570091, 0.20505, 0.0105698
1.61812, 11, 1.82957, 0.0216722, 0.24627, 0.00734338
1.61812, 12, 1.84471, -0.0459406, 0.225462, 0.00884357
1.61812, 13, 1.85327, 0.0384761, 0.298414, 0.00670428
1.61812, 14, 1.84722, 0.0101847, 0.280112, 0.00785765
1.61812, 15, 1.82763, -0.0464897, 0.256023, 0.00906306
1.61812, 16, 1.81147, -0.0424435, 0.243215, 0.0116123
1.61812, 17, 1.82873, 0.011841, 0.231765, 0.00605816
1.61812, 18, 1.81002, 0.0332432, 0.288308, 0.00760764
1.61812, 19, 1.80915, 0.00220194, 0.234505, 0.00866864
1.61812, 20, 1.83369, 0.0200997, 0.296119, 0.00758763
1.61812, 21, 1.83318, -0.0229817, 0.215278, 0.00853729
1.61812, 22, 1.83188, -0.0161961, 0.232623, 0.00749685
1.61812, 23, 1.80636, -0.0268011, 0.275689, 0.0103287
1.61812, 24, 1.82391, 0.00439311, 0.253841, 0.00736024
1.61812, 25, 1.82822, -0.0476493, 0.295552, 0.00916424
1.61812, 26, 1.84466, 0.00406446, 0.234118, 0.0105389
1.61812, 27, 1.83238, -0.0107003, 0.249271, 0.0067
1.61812, 28, 1.81454, -0.0257353, 0.221185, 0.00937329
1.61812, 29, 1.8108, 0.00961292, 0.218179, 0.00685871
1.61812, 30, 1.81461, 0.0468899, 0.245039, 0.0100418
1.61812, 31, 1.83045, -0.0424642, 0.234417, 0.00806177
1.61812, 32, 1.85227, -0.0268879, 0.256874, 0.013915
1.6381, 0, 1.8487, -0.0048449, 0.28162, 0.00866401
1.6381, 1, 1.84419, -0.0400685, 0.273965, 0.00848903
1.6381, 2, 1.85414, 0.0426644, 0.204129, 0.00854844
1.6381, 3, 1.83497, 0.0303076, 0.218304, 0.0112522
1.6381, 4, 1.83408, -0.0291668, 0.293842, 0.00887362
1.6381, 5, 1.83183, -0.0099055, 0.209728, 0.00735082
1.6381, 6, 1.84062, 0.00840896, 0.274131, 0.0052252
1.6381, 7, 1.87063, -0.0175913, 0.285894, 0.0108577
1.6381, 8, 1.86873, -0.0387877, 0.286433, 0.00874757
1.6381, 9, 1.85168, -0.0267838, 0.240904, 0.00575349
1.6381, 10, 1.87196, 0.000570091, 0.202047, 0.0105698
1.6381, 11, 1.84918, 0.0216722, 0.243268, 0.00734338
1.6381, 12, 1.86478, -0.0460066, 0.22229, 0.00884357
1.6381, 13, 1.87343, 0.0384761, 0.295412, 0.00670428
1.6381, 14, 1.86657, 0.0101847, 0.27711, 0.00785765
1.6381, 15, 1.84782, -0.0464897, 0.25302, 0.00906306
1.6381, 16, 1.83158, -0.0424435, 0.240212, 0.0116123
1.6381, 17, 1.84783, 0.011841, 0.228762, 0.00605816
1.6381, 18, 1.82836, 0.0332432, 0.285305, 0.00760764
1.6381, 19, 1.82774, 0.00220194, 0.231502, 0.00866864
1.6381, 20, 1.85508, 0.0200997, 0.293117, 0.00758763
1.6381, 21, 1.85118, -0.0229817, 0.212275, 0.00853729
1.6381, 22, 1.85188, -0.0161961, 0.229621, 0.00749685
1.6381, 23, 1.82612, -0.0268011, 0.272686, 0.0103287
1.6381, 24, 1.84454, 0.00439311, 0.250839, 0.00736024
1.6381, 25, 1.84811, -0.0476493, 0.292549, 0.00916424
1.6381, 26, 1.86627, 0.00406446, 0.231115, 0.0105389
1.6381, 27, 1.85257, -0.0107003, 0.246268, 0.0067
1.6381, 28, 1.83339, -0.0257353, 0.218182, 0.00937329
1.6381, 29, 1.83208, 0.00961292, 0.215176, 0.00685871
1.6381, 30, 1.83495, 0.0468899, 0.242036, 0.0100418
1.6381, 31, 1.85058, -0.0423771, 0.231639, 0.00806177
1.6381, 32, 1.87241, -0.0268879, 0.253871, 0.013915
1.65807, 0, 1.86888, -0.0048449, 0.274702, 0.00866401
1.65807, 1, 1.86274, -0.0400685, 0.267048, 0.00848903
1.65807, 2, 1.87336, 0.0426644, 0.197211, 0.00854844
1.65807, 3, 1.85493, 0.0303076, 0.211386, 0.0112522
1.65807, 4, 1.85389, -0.0291668, 0.286924, 0.00887362
1.65807, 5, 1.85073, -0.0099055, 0.20281, 0.00735082
1.65807, 6, 1.86164, 0.00840896, 0.267214, 0.0052252
1.65807, 7, 1.89073, -0.0175913, 0.278977, 0.0108577
1.65807, 8, 1.8881, -0.0387877, 0.279516, 0.00874757
1.65807, 9, 1.86959, -0.0267838, 0.233986, 0.00575349
1.65807, 10, 1.89285, 0.000570091, 0.195129, 0.0105698
1.65807, 11, 1.8688, 0.0216722, 0.23635, 0.00734338
1.65807, 12, 1.88509, -0.0461095, 0.215107, 0.00884357
1.65807, 13, 1.89358, 0.0384761, 0.288494, 0.00670428
1.65807, 14, 1.88593, 0.0101847, 0.270192, 0.00785765
1.65807, 15, 1.86802, -0.0464897, 0.246102, 0.00906306
1.65807, 16, 1.85169, -0.0424435, 0.233295, 0.0116123
1.65807, 17, 1.86694, 0.011841, 0.221845, 0.00605816
1.65807, 18, 1.84669, 0.0332432, 0.278388, 0.00760764
1.65807, 19, 1.84632, 0.00220194, 0.224584, 0.00866864
1.65807, 20, 1.87647, 0.0200997, 0.286199, 0.00758763
1.65807, 21, 1.86918, -0.0229817, 0.205357, 0.00853729
1.65807, 22, 1.87188, -0.0161961, 0.222703, 0.00749685
1.65807, 23, 1.84587, -0.0268011, 0.265769, 0.0103287
1.65807, 24, 1.86517, 0.00439311, 0.243921, 0.00736024
1.65807, 25, 1.868, -0.0476493, 0.285632, 0.00916424
1.65807, 26, 1.88788, 0.00406446, 0.224197, 0.0105389
1.65807, 27, 1.87276, -0.0107003, 0.239351, 0.0067
1.65807, 28, 1.85225, -0.0257353, 0.211265, 0.00937329
1.65807, 29, 1.85336, 0.00961292, 0.208258, 0.00685871
1.65807, 30, 1.85529, 0.0468899, 0.235119, 0.0100418
1.65807, 31, 1.87039, -0.0422412, 0.225071, 0.00806177
1.65807, 32, 1.89255, -0.0268879, 0.246954, 0.013915
1.67805, 0, 1.88905, -0.0048449, 0.263869, 0.00866401
1.67805, 1, 1.88129, -0.0400685, 0.256215, 0.00848903
1.67805, 2, 1.89257, 0.0426644, 0.186379, 0.00854844
1.67805, 3, 1.8749, 0.0303076, 0.200554, 0.0112522
1.67805, 4, 1.8737, -0.0291668, 0.276091, 0.00887362
1.67805, 5, 1.86963, -0.0099055, 0.191977, 0.00735082
1.67805, 6, 1.88267, 0.00840896, 0.256381, 0.0052252
1.67805, 7, 1.91083, -0.0175913, 0.268144, 0.0108577
1.67805, 8, 1.90747, -0.0387877, 0.268683, 0.00874757
1.67805, 9, 1.8875, -0.0267838, 0.223154, 0.00575349
1.67805, 10, 1.91373, 0.000570091, 0.184296, 0.0105698
1.67805, 11, 1.88842, 0.0216722, 0.225517, 0.00734338
1.67805, 12, 1.9054, -0.0462125, 0.204009, 0.00884357
1.67805, 13, 1.91374, 0.0384761, 0.277661, 0.00670428
1.67805, 14, 1.90528, 0.0101847, 0.259359, 0.00785765
1.67805, 15, 1.88821, -0.0464897, 0.23527, 0.00906306
1.67805, 16, 1.8718, -0.0424435, 0.222462, 0.0116123
1.67805, 17, 1.88604, 0.011841, 0.211012, 0.00605816
1.67805, 18, 1.86503, 0.0332432, 0.267555, 0.00760764
1.67805, 19, 1.86491, 0.00220194, 0.213752, 0.00866864
1.67805, 20, 1.89786, 0.0200997, 0.275366, 0.00758763
1.67805, 21, 1.88776, -0.0229164, 0.194384, 0.00853729
1.67805, 22, 1.89188, -0.0161961, 0.21187, 0.00749685
1.67805, 23, 1.86563, -0.0268011, 0.254936, 0.0103287
1.67805, 24, 1.88581, 0.00439311, 0.233088, 0.00736024
1.67805, 25, 1.8879, -0.0476493, 0.274799, 0.00916424
1.67805, 26, 1.90949, 0.00406446, 0.213364, 0.0105389
1.67805, 27, 1.89295, -0.0107003, 0.228518, 0.0067
1.67805, 28, 1.87066, -0.0257847, 0.200538, 0.00937329
1.67805, 29, 1.87464, 0.00961292, 0.197426, 0.00685871
1.67805, 30, 1.87562, 0.0468899, 0.224286, 0.0100418
1.67805, 31, 1.89021, -0.0421052, 0.214589, 0.00806177
1.67805, 32, 1.91268, -0.0268879, 0.236121, 0.013915
1.69803, 0, 1.90923, -0.0048449, 0.249122, 0.00866401
1.69803, 1, 1.89984, -0.0400685, 0.241468, 0.00848903
1.69803, 2, 1.91179, 0.0426644, 0.171631, 0.00854844
1.69803, 3, 1.89486, 0.0303076, 0.185806, 0.0112522
1.69803, 4, 1.89351, -0.0291668, 0.261344, 0.00887362
1.69803, 5, 1.88852, -0.0099055, 0.17723, 0.00735082
1.69803, 6, 1.90369, 0.00840896, 0.241634, 0.0052252
1.69803, 7, 1.93092, -0.0175913, 0.253396, 0.0108577
1.69803, 8, 1.92683, -0.0387877, 0.253936, 0.00874757
1.69803, 9, 1.90541, -0.0267838, 0.208406, 0.00575349
1.69803, 10, 1.93461, 0.000570091, 0.169549, 0.0105698
1.69803, 11, 1.90803, 0.0216722, 0.21077, 0.00734338
1.69803, 12, 1.92571, -0.0463155, 0.188996, 0.00884357
1.69803, 13, 1.93389, 0.0384761, 0.262914, 0.00670428
1.69803, 14, 1.92463, 0.0101847, 0.244612, 0.00785765
1.69803, 15, 1.9084, -0.0464897, 0.220522, 0.00906306
1.69803, 16, 1.8919, -0.0424409, 0.20773, 0.0116123
1.69803, 17, 1.90514, 0.011841, 0.196265, 0.00605816
1.69803, 18, 1.88337, 0.0332432, 0.252807, 0.00760764
1.69803, 19, 1.88349, 0.00220194, 0.199004, 0.00866864
1.69803, 20, 1.91926, 0.0200997, 0.260619, 0.00758763
1.69803, 21, 1.9066, -0.0228214, 0.179433, 0.00853729
1.69803, 22, 1.91188, -0.0161961, 0.197123, 0.00749685
1.69803, 23, 1.88538, -0.0268011, 0.240189, 0.0103287
1.69803, 24, 1.90644, 0.00439311, 0.218341, 0.00736024
1.69803, 25, 1.90779, -0.0476493, 0.260051, 0.00916424
1.69803, 26, 1.93109, 0.00406446, 0.198617, 0.0105389
1.69803, 27, 1.91314, -0.0107003, 0.213771, 0.0067
1.69803, 28, 1.88887, -0.0258564, 0.185944, 0.00937329
1.69803, 29, 1.89592, 0.00961292, 0.182678, 0.00685871
1.69803, 30, 1.89596, 0.0468899, 0.209538, 0.0100418
1.69803, 31, 1.91008, -0.041977, 0.200146, 0.00806177
1.69803, 32, 1.93282, -0.0268879, 0.221373, 0.013915
1.718, 0, 1.9294, -0.0048449, 0.23046, 0.00866401
1.718, 1, 1.91839, -0.0400721, 0.222805, 0.00848903
1.718, 2, 1.93064, 0.0440133, 0.15397, 0.00854844
1.718, 3, 1.91483, 0.0303076, 0.167144, 0.0112522
1.718, 4, 1.91332, -0.0291668, 0.242681, 0.00887362
1.718, 5, 1.90718, -0.0099055, 0.159409, 0.00735082
1.718, 6, 1.92472, 0.00840896, 0.222971, 0.0052252
1.718, 7, 1.95102, -0.0175913, 0.234734, 0.0108577
1.718, 8, 1.9462, -0.0387877, 0.235273, 0.00874757
1.718, 9, 1.92333, -0.0267838, 0.189744, 0.00575349
1.718, 10, 1.94929, -0.000151802, 0.163286, 0.0105698
1.718, 11, 1.92765, 0.0216722, 0.192107, 0.00734338
1.718, 12, 1.94601, -0.0464185, 0.170068, 0.00884357
1.718, 13, 1.95405, 0.0384761, 0.244251, 0.00670428
1.718, 14, 1.94398, 0.0101847, 0.225949, 0.00785765
1.718, 15, 1.92859, -0.0464897, 0.20186, 0.00906306
1.718, 16, 1.91185, -0.0424197, 0.189191, 0.0116123
1.718, 17, 1.92424, 0.011841, 0.177602, 0.00605816
1.718, 18, 1.9017, 0.0332432, 0.234145, 0.00760764
1.718, 19, 1.90208, 0.00220194, 0.180342, 0.00866864
1.718, 20, 1.94065, 0.0200997, 0.241956, 0.00758763
1.718, 21, 1.92545, -0.0227264, 0.160567, 0.00853729
1.718, 22, 1.93188, -0.0161961, 0.17846, 0.00749685
1.718, 23, 1.90513, -0.0267991, 0.221526, 0.0103287
1.718, 24, 1.92707, 0.00439311, 0.199678, 0.00736024
1.718, 25, 1.92769, -0.0476493, 0.241389, 0.00916424
1.718, 26, 1.95336, 0.00512465, 0.188631, 0.0105389
1.718, 27, 1.93333, -0.0107003, 0.195108, 0.0067
1.718, 28, 1.90708, -0.0259282, 0.167436, 0.00937329
1.718, 29, 1.91721, 0.00961292, 0.164016, 0.00685871
1.718, 30, 1.9163, 0.0468899, 0.190876, 0.0100418
1.718, 31, 1.93038, -0.0419046, 0.181463, 0.00806177
1.718, 32, 1.95296, -0.0268879, 0.202711, 0.013915
1.73798, 0, 1.94958, -0.0048449, 0.207882, 0.00866401
1.73798, 1, 1.9379, -0.0405985, 0.200279, 0.00848903
1.73798, 2, 1.94684, 0.0549594, 0.139528, 0.00854844
